pair,min_centroid,min_footprint,t_centroid,t_footprint,ttc_accel_poly,ttc_cv_poly,ttc_accel_pt,clearance_overstatement,timing_lead
1207-1227,1.370804919663732,0.7608977038458264,286.80774425934266,287.00785431987595,,1.0000000000000002,,0.6099072158179055,-0.20011006053329083
1799-1800,5.997819983440183,4.605239869781926,150.03251788483666,150.03251788483666,,,,1.3925801136582576,0.0
673-2031,4.577834736689892,2.1900008138822216,159.1375256391015,159.23758066936816,,,,2.387833922807671,-0.10005503026664542
849-1881,6.146714437938023,4.647235469801252,205.9132522887588,204.0122067136925,,,,1.4994789681367706,1.9010455750662913
517-576,7.048765847873046,5.647492005637455,143.42888588723798,143.278803341838,,,,1.4012738422355913,0.15008254539998234
334-1388,7.097932585023704,5.3134206144064,86.54760118064935,86.54760118064935,,,,1.784511970617304,0.0
457-496,8.54208898161577,6.900955749743446,134.42393316323978,134.42393316323978,,,,1.641133231872324,0.0
639-647,6.026663589119236,3.281645657793419,154.48496673170243,154.48496673170243,,,,2.745017931325817,0.0
193-1707,10.123160868891603,8.12834576251086,45.22487368052429,45.22487368052429,,,,1.9948151063807433,0.0
456-513,5.005756617824947,3.6937107287360256,134.12376807243984,134.12376807243984,,,,1.312045889088921,0.0
471-473,1.446455705022079,0.1929775366560733,129.3211266196408,129.37115413477412,,,,1.2534781683660057,-0.0500275151333085
1017-2057,1.1140752716020281,0.0,238.43113712541896,238.43113712541896,0.2,0.35,,1.1140752716020281,0.0
981-985,7.891773495775028,5.8620754178799075,233.1282205212867,233.72855070288657,,,,2.0296980778951204,-0.6003301815998725
1220-1623,9.492722248490763,7.94403869080322,280.5543048676772,281.0045525038771,,,,1.5486835576875428,-0.45024763619989017
865-873,8.157284019193119,3.453447984147857,205.76316974335884,205.76316974335884,,,,4.703836035045262,0.0
1495-2031,7.587438199255865,5.7914807915299065,159.18755315423482,159.7878833358347,,,,1.7959574077259584,-0.6003301815998725
517-573,3.1007512498216654,1.8654171176919307,144.42943618990444,144.57951873530442,,,,1.2353341321297346,-0.15008254539998234
829-1898,8.081039532490864,6.389833149093711,202.6614638050928,202.51138125969285,,,,1.6912063833971533,0.15008254539995391
829-849,5.698498807280864,2.4508776653413022,202.61143628995947,202.8115463504928,,,,3.247621141939562,-0.20011006053331926
1061-1127,4.3148272483927625,3.5403940945890433,259.4426934814148,259.4426934814148,,,,0.7744331538037192,0.0
493-501,3.6257925744912787,2.237428867538812,133.67352043623993,133.47341037570664,1.0500000000000003,2.4499999999999993,,1.3883637069524668,0.20011006053329083
457-501,2.6721718789704356,1.2597404044139893,133.27330031517334,133.57346540597328,,,,1.4124314745564464,-0.30016509079993625
148-167,1.8741670729616289,0.0,36.57011356245936,36.770223622992646,,,,1.8741670729616289,-0.20011006053328373
401-444,7.583316068521784,6.239989293886566,120.91650407724248,120.86647656210916,,,,1.3433267746352175,0.05002751513332271
831-1534,4.195848928317032,2.67056605973886,200.1100605332933,199.6598128970934,,,,1.5252828685781719,0.4502476361999186
517-557,5.205397453560075,0.3874551690475272,141.3777577667717,141.3777577667717,0.2,0.35,,4.817942284512548,0.0
